Region,House,Sigil,Blazon,Seat,Words,Origin,Notes,Ancestral weapon
Westerlands,House Algood,https://awoiaf.westeros.org/index.php/File:House_Algood.svg,"A golden wreath on blue, a gold border",,,,,
Dorne,House Allyrion of Godsgrace,https://awoiaf.westeros.org/index.php/File:House_Allyrion.svg,A golden hand on gyronny red and black,Godsgrace,No Foe May Pass,,,
North,House Amber,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,extinct before the Andal invasion,
Reach,House Ambrose,https://awoiaf.westeros.org/index.php/File:House_Ambrose.svg,A yellow field strewn with red ants,,Never Resting,,,
Iron Islands (Shield Islands),House Andrik of Southshield,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Southshield,,Andrik the Unsmiling,,
Reach,House Appleton of Appleton,https://awoiaf.westeros.org/index.php/File:House_Appleton.svg,"Quarterly: An apple tree on yellow, a grey gatehouse on white",Appleton,,,,
Vale of Arryn,House Arryn of Gulltown,https://awoiaf.westeros.org/index.php/File:House_Arryn.svg,"A sky-blue falcon soaring against a white moon, on sky-blue",Gulltown,,Cadet of Arryn,,
Vale of Arryn,House Arryn,https://awoiaf.westeros.org/index.php/File:House_Arryn.svg,"A sky-blue falcon soaring against a white moon, on sky-blue",Eyrie,As High as Honor,Ser Artys Arryn,,
Reach,House Ashford of Ashford,https://awoiaf.westeros.org/index.php/File:House_Ashford.svg,A white sun-and-chevron on orange,Ashford,Our Sun Shines Bright,,,
North,House Ashwood,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Riverlands,House Baelish of Harrenhal,https://awoiaf.westeros.org/index.php/File:House_Baelish_(Harrenhal).svg,A field of silver mockingbirds on green,Harrenhal,,Petyr Baelish,,
Vale of Arryn,House Baelish of the Fingers,https://awoiaf.westeros.org/index.php/File:House_Baelish.svg,"A grey stone head with fiery eyes, upon a light green field",Drearfort,,Baelish,,
Reach,House Ball,https://awoiaf.westeros.org/index.php/File:House_Ball.svg,Three white plates upon a chevron red on a white field,,,Florys the Fox,,
Westerlands,House Banefort of Banefort,https://awoiaf.westeros.org/index.php/File:House_Banefort.svg,"A hooded man, black on grey, within a fiery tressure",Banefort,,Hooded Man,,
Crownlands (Dragonstone),House Bar Emmon of Sharp Point,https://awoiaf.westeros.org/index.php/File:House_Bar_Emmon.svg,A leaping blue swordfish on fretty silver on white,Sharp Point,,Togarion Bar Emmon,,
Crownlands (Dragonstone),House Baratheon of Dragonstone,https://awoiaf.westeros.org/index.php/File:House_Baratheon_(Dragonstone).svg,"On sun-yellow, a black crowned stag within a red heart surrounded by a blaze of orange fire",Dragonstone & Red Keep & Summerhall,,Stannis Baratheon,,
Crownlands,House Baratheon of King's Landing,https://awoiaf.westeros.org/index.php/File:House_Baratheon_(King%27s_Landing).svg,Per pale Baratheon and Lannister,Red Keep,,Robert I Baratheon,,"Widow's Wail (new, extant)"
Stormlands,House Baratheon of Storm's End,https://awoiaf.westeros.org/index.php/File:House_Baratheon.svg,A crowned stag black on a golden field,Storm's End,Ours is the Fury,Orys Baratheon,,
Reach,House Beesbury of Honeyholt,https://awoiaf.westeros.org/index.php/File:House_Beesbury.svg,Three yellow beehives on a black pale on a field paly black and yellow,Honeyholt,Beware Our Sting,Ellyn Ever Sweet,,
Unknown,House Belgrave,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Vale of Arryn,House Belmore of Strongsong,https://awoiaf.westeros.org/index.php/File:House_Belmore.svg,"Six silver bells on purple, 3-2-1",Strongsong,,,,
Westerlands,House Bettley,https://awoiaf.westeros.org/index.php/File:House_Bettley.svg,Three blue beetles on gold,,,,,
Riverlands,House Bigglestone,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Blackbar of Bandallon,https://awoiaf.westeros.org/index.php/File:House_Blackbar.svg,A black fess on silver,Bandallon,,,,
Unknown,House Blackberry,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Crownlands,House Blackfyre,https://awoiaf.westeros.org/index.php/File:House_Blackfyre.svg,"A black three-headed dragon, breathing black fire on red",,,Daemon Blackfyre,extinct 260 AC,Blackfyre (lost)
Dorne,House Blackmont of Blackmont,https://awoiaf.westeros.org/index.php/File:House_Blackmont.svg,A black vulture with a pink infant in its claws on yellow,Blackmont,,,,
North (Crannogmen),House Blackmyre,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Iron Islands,House Blacktyde of Blacktyde,https://awoiaf.westeros.org/index.php/File:House_Blacktyde.svg,Vairy green and black,Blacktyde Castle,,Grey King,,
Riverlands; North (formerly),House Blackwood of Raventree Hall,https://awoiaf.westeros.org/index.php/File:House_Blackwood.svg,A flock of ravens on scarlet surrounding a dead weirwood upon a black escutcheon,Raventree Hall,,,,
Riverlands,House Blanetree,https://awoiaf.westeros.org/index.php/File:House_Blanetree.svg,"Maple leaves, green and brown, strewn on a field of yellow",,,,,
Crownlands,House Blount,https://awoiaf.westeros.org/index.php/File:House_Blount.svg,A red bend sinister between two black porcupines on green,,,,,
Crownlands (Crackclaw Point),House Boggs,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
North (Crannogmen),House Boggs (north),https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
North (Wolfswood Clans),House Bole,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Stormlands,House Bolling,https://awoiaf.westeros.org/index.php/File:House_Bolling.svg,"Vairy orange and blue; upon a black canton, a golden stag beneath an orange bend sinister",,,,,
North,House Bolton of the Dreadfort,https://awoiaf.westeros.org/index.php/File:House_Bolton.svg,A red flayed man on pink de sang,Dreadfort,Our Blades Are Sharp,Red King,,
North,House Bolton of Winterfell,https://awoiaf.westeros.org/index.php/File:House_Bolton.svg,.A red flayed man on pink de sang,Winterfell,,Ramsay Snow,,
Vale of Arryn (Sistermen),House Borrell of Sweetsister,https://awoiaf.westeros.org/index.php/File:House_Borrell.svg,A white spider crab on grey-green,Breakwater,,,,
Iron Islands,House Botley of Lordsport,https://awoiaf.westeros.org/index.php/File:House_Botley.svg,A shoal of silver fish on pale green,Lordsport,,Grey King,,
Riverlands,House Bracken of Stone Hedge,https://awoiaf.westeros.org/index.php/File:House_Bracken.svg,A red stallion upon a golden escutcheon on brown,Stone Hedge,,,,
North (Wolfswood Clans),House Branch,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Westerlands,House Brax of Hornvale,https://awoiaf.westeros.org/index.php/File:House_Brax.svg,A purple unicorn on silver,Hornvale,,,,
Vale of Arryn,House Breakstone,https://awoiaf.westeros.org/index.php/File:None.svg,A red sledgehammer,,,,,
Dorne,House Briar,https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,probably extinct,
Reach,House Bridges,https://awoiaf.westeros.org/index.php/File:House_Bridges.svg,A black stone bridge with three arches upon a golden chief above three blue pallets on white,,,,,
Vale of Arryn,House Brightstone,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,extinct after Andal invasion,
Dorne,House Brook,https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,probably extinct,
Westerlands,House Broom,https://awoiaf.westeros.org/index.php/File:House_Broom.svg,A silver helm crested with a sprig of broom on black and green checks,,,,,
Dorne,House Brownhill,https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,probably extinct,
Crownlands (Crackclaw Point),House Brune of Brownhollow,https://awoiaf.westeros.org/index.php/File:House_Brune_(Brownhollow).svg,"A bear paw, brown on white, within a double tressure brown",Brownhollow,,Presumably cadet of Brune of the Dyre Den,,
Crownlands (Crackclaw Point),House Brune of the Dyre Den,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Dyre Den,,,,
Stormlands,House Buckler of Bronzegate,https://awoiaf.westeros.org/index.php/File:House_Buckler.svg,Three brass buckles on blue,Bronzegate,,,,
Crownlands,House Buckwell of the Antlers,https://awoiaf.westeros.org/index.php/File:House_Buckwell.svg,A rack of golden antlers on vair,Antlers,Pride and Purpose,,,
Reach,House Bulwer of Blackcrown,https://awoiaf.westeros.org/index.php/File:House_Bulwer.svg,"A bull's skull, bone on blood",Blackcrown,Death Before Disgrace,Bors the Breaker,,
North (Mountain Clans),House Burley,https://awoiaf.westeros.org/index.php/File:House_Burley.svg,A white knife in a blue pile on white,,,,,
Reach,House Bushy,https://awoiaf.westeros.org/index.php/File:House_Bushy.svg,A green fess embattled on white,,,,,
Riverlands,House Butterwell of Whitewalls,https://awoiaf.westeros.org/index.php/File:House_Butterwell.svg,"Undy green, white, and yellow",Whitewalls,,,,
Crownlands,House Byrch,https://awoiaf.westeros.org/index.php/File:House_Byrch.svg,"Quarterly, gyronny white and black, a silver axe on green",,,,,
Crownlands,House Bywater,https://awoiaf.westeros.org/index.php/File:House_Bywater.svg,"Fretty blue on white, three silver fish on a blue chief",,,,,
Stormlands,House Cafferen of Fawnton,https://awoiaf.westeros.org/index.php/File:House_Cafferen.svg,Two white fawns counter salient on green,Fawnton,,,,
Crownlands,House Cargyll,https://awoiaf.westeros.org/index.php/File:House_Cargyll.svg,A golden goose on bendy sinister black and red,,,,extinct after 209 AC,
Stormlands (Marcher Lords),House Caron of Nightsong,https://awoiaf.westeros.org/index.php/File:House_Caron.svg,A field of black nightingales on yellow,Nightsong,No Song So Sweet,,,
